# Generated with ADRIA.jl v0.15.1 on 2026-07-09_12_05_02_898
component,fieldname,val,ptype,dist,dist_params,default_dist_params,direction,lower_bound,upper_bound,is_constant,name,description
Intervention,seeding_devices_per_m2,0.0,unordered categorical,ADRIA.CategoricalDistribution,"(3.0, 5.0, 6.0, 9.0)","(3, 5, 6, 9)",,3.0,9.0,false,seeding_devices_per_m2,Number of seeding devices per m².
Intervention,min_iv_locations,5.0,ordered discrete,Distributions.DiscreteUniform,"(5.0, 20.0)","(5.0, 20.0)",,5.0,20.0,false,Minimum intervention locations,Minimum number of locations to perform intervention
Intervention,mc_min_iv_locations,5.0,ordered discrete,Distributions.DiscreteUniform,"(5.0, 20.0)","(5.0, 20.0)",,5.0,20.0,false,Moving corals minimum intervention locations,Minimum number of locations to perform moving corals intervention
Intervention,fogging,0.0,continuous,Distributions.TriangularDist,"(0.0, 0.3, 0.0)","(0.0, 0.3, 0.0)",,0.0,0.3,false,Fogging,Assumed reduction in bleaching mortality.
Intervention,SRM,0.0,continuous,Distributions.TriangularDist,"(0.0, 7.0, 0.0)","(0.0, 7.0, 0.0)",,0.0,7.0,false,SRM,Reduction in DHWs due to shading.
Intervention,a_adapt,0.0,ordered discrete,DiscreteOrderedUniformDist,"(0.0, 15.0, 0.5)","(0.0, 15.0, 0.5)",,0.0,15.0,false,Assisted Adaptation,Assisted adaptation in terms of DHW resistance.
Intervention,a_adapt_ref,0.0,ordered discrete,DiscreteOrderedUniformDist,"(0.0, 15.0, 1.0)","(0.0, 15.0, 1.0)",,0.0,15.0,false,Assisted adaptation reference,Distance from current year used as referece for assisted adaptation.
Intervention,seed_years,10.0,ordered categorical,Distributions.DiscreteUniform,"(5.0, 75.0)","(5.0, 75.0)",,5.0,75.0,false,Years to Seed,Number of years to seed for.
Intervention,shade_years,10.0,ordered categorical,Distributions.DiscreteUniform,"(5.0, 75.0)","(5.0, 75.0)",,5.0,75.0,false,Years to Shade,Number of years to shade for.
Intervention,fog_years,10.0,ordered categorical,Distributions.DiscreteUniform,"(5.0, 75.0)","(5.0, 75.0)",,5.0,75.0,false,Years to fog,Number of years to fog for.
Intervention,plan_horizon,5.0,ordered categorical,Distributions.DiscreteUniform,"(0.0, 20.0)","(0.0, 20.0)",,0.0,20.0,false,Planning Horizon,How many years of projected data to take into account when selecting intervention locations (0 only accounts for current deployment year).
Intervention,seed_deployment_freq,5.0,ordered categorical,Distributions.DiscreteUniform,"(0.0, 15.0)","(0.0, 15.0)",,0.0,15.0,false,Selection Frequency (Seed),Frequency of seeding deployments (0 deploys once).
Intervention,fog_deployment_freq,5.0,ordered categorical,Distributions.DiscreteUniform,"(0.0, 15.0)","(0.0, 15.0)",,0.0,15.0,false,Selection Frequency (Fog),Frequency of fogging deployments (0 deploys once).
Intervention,shade_deployment_freq,1.0,ordered categorical,Distributions.DiscreteUniform,"(0.0, 15.0)","(0.0, 15.0)",,0.0,15.0,false,Deployment Frequency (Shading),Frequency of shading deployments.
Intervention,mc_deployment_freq,1.0,ordered categorical,Distributions.DiscreteUniform,"(0.0, 15.0)","(0.0, 15.0)",,0.0,15.0,false,Deployment Frequency (Moving corals),Frequency of moving corals deployments.
Intervention,seed_year_start,2.0,ordered categorical,Distributions.DiscreteUniform,"(0.0, 25.0)","(0.0, 25.0)",,0.0,25.0,false,Seeding Start Year,Start seeding deployments after this number of years has elapsed.
Intervention,shade_year_start,2.0,ordered categorical,Distributions.DiscreteUniform,"(2.0, 25.0)","(2.0, 25.0)",,2.0,25.0,false,Shading Start Year,Start of shading deployments after this number of years has elapsed.
Intervention,fog_year_start,2.0,ordered categorical,Distributions.DiscreteUniform,"(2.0, 25.0)","(2.0, 25.0)",,2.0,25.0,false,Fogging Start Year,Start of fogging deployments after this number of years has elapsed.
Intervention,mc_year_start,2.0,ordered categorical,Distributions.DiscreteUniform,"(0.0, 25.0)","(0.0, 25.0)",,0.0,25.0,false,Moving corals Start Year,Start moving corals deployments after this number of years has elapsed.
Intervention,mc_years,10.0,ordered categorical,Distributions.DiscreteUniform,"(5.0, 75.0)","(5.0, 75.0)",,5.0,75.0,false,Years to deploy moving corals,Number of years to deploy moving corals.
Intervention,mcb_albedo,0.0,ordered categorical,ADRIA.CategoricalDistribution,"(0.0, 0.0)","(0.0, 0.0)",,0.0,0.0,true,MCB Albedo,Albedo level to use from 5D DHW dataset.
Intervention,mcb_duration,0.0,ordered categorical,ADRIA.CategoricalDistribution,"(0.0, 0.0)","(0.0, 0.0)",,0.0,0.0,true,MCB Duration,Duration level (yearly days) to use from 5D DHW dataset.
Intervention,mcb_deployment_freq,1.0,ordered discrete,Distributions.DiscreteUniform,"(1.0, 50.0)","(1.0, 50.0)",,1.0,50.0,false,MCB Deployment Frequency,"Frequency of MCB deployment in years (e.g. 1 is every year, 2 is every 2nd year)."
Intervention,seed_strategy,2.0,ordered categorical,ADRIA.CategoricalDistribution,"(1.0, 2.0)","(1.0, 2.0)",,1.0,2.0,false,Seed Strategy Type,"Deployment strategy: 1=Periodic (time-based), 2=Reactive (condition-based); 0 is off"
Intervention,fog_strategy,2.0,ordered categorical,ADRIA.CategoricalDistribution,"(1.0, 2.0)","(1.0, 2.0)",,1.0,2.0,false,Fog Strategy Type,"Deployment strategy: 1=Periodic (time-based), 2=Reactive (condition-based); 0 is off"
Intervention,mc_strategy,2.0,ordered categorical,ADRIA.CategoricalDistribution,"(1.0, 2.0)","(1.0, 2.0)",,1.0,2.0,false,Moving Corals Strategy Type,"Deployment strategy: 1=Periodic (time-based), 2=Reactive (condition-based); 0 is off"
Intervention,reactive_absolute_threshold,0.95,ordered discrete,DiscreteOrderedUniformDist,"(0.7, 0.95, 0.05)","(0.7, 0.95, 0.05)",,0.7,0.95,false,Cover Absolute Threshold,Deploy when coral cover falls below this proportion (for reactive strategy)
Intervention,reactive_loss_threshold,0.3,ordered discrete,DiscreteOrderedUniformDist,"(0.1, 0.5, 0.05)","(0.1, 0.5, 0.05)",,0.1,0.5,false,Cover Loss Threshold,Deploy when proportional cover loss exceeds this value (for reactive strategy)
Intervention,reactive_min_cover_remaining,0.05,ordered discrete,DiscreteOrderedUniformDist,"(0.0, 0.15, 0.025)","(0.0, 0.15, 0.025)",,0.0,0.15,false,Minimum Viable Cover,Do not deploy to locations with less than this cover proportion (for reactive strategy)
Intervention,reactive_response_delay,1.0,ordered categorical,Distributions.DiscreteUniform,"(0.0, 5.0)","(0.0, 5.0)",,0.0,5.0,false,Response Delay,Timesteps to wait after trigger before deployment (for reactive strategy)
Intervention,reactive_cooldown_period,4.0,ordered categorical,Distributions.DiscreteUniform,"(0.0, 10.0)","(0.0, 10.0)",,0.0,10.0,false,Reactive Cooldown Period,Timesteps before location becomes eligible again; 0=no cooldown (for reactive strategy)
SeedCriteriaWeights,seed_heat_stress,0.9,continuous,Distributions.Uniform,"(0.8, 1.0)","(0.8, 1.0)",minimum,0.8,1.0,false,Seed Heat Stress,Importance of avoiding heat stress when seeding. Prefer locations with lower heat stress.
SeedCriteriaWeights,seed_wave_stress,0.5,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",maximum,0.0,1.0,false,Seed Wave Stress,Prefer locations with higher wave activity.
SeedCriteriaWeights,seed_in_connectivity,0.5,continuous,Distributions.Uniform,"(0.5, 1.0)","(0.5, 1.0)",maximum,0.5,1.0,false,Incoming Connectivity (Seed),"Give preference to locations with high incoming connectivity (i.e., receives larvae from other sites) for coral deployments."
SeedCriteriaWeights,seed_out_connectivity,0.8,continuous,Distributions.Uniform,"(0.5, 1.0)","(0.5, 1.0)",maximum,0.5,1.0,false,Outgoing Connectivity (Seed),"Give preference to locations with high outgoing connectivity (i.e., provides larvae to other sites) for coral deployments."
SeedCriteriaWeights,seed_depth,1.0,continuous,Distributions.Uniform,"(0.8, 1.0)","(0.8, 1.0)",maximum,0.8,1.0,false,Depth (Seed),Give preference to deeper locations for coral deployments.
SeedCriteriaWeights,seed_coral_cover,0.7,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",minimum,0.0,1.0,false,Seed Coral Cover,Preference locations with lower coral cover (higher available space) for seeding deployments.
SeedCriteriaWeights,seed_cluster_diversity,0.7,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",maximum,0.0,1.0,false,Cluster Diversity,Prefer locations from clusters that are under-represented.
SeedCriteriaWeights,seed_geographic_separation,0.8,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",minimum,0.0,1.0,false,Geographic Separation,Prefer locations that are distant (when maximized) or closer (when minimized; the default) to their neighbors.
FogCriteriaWeights,fog_heat_stress,1.0,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",minimum,0.0,1.0,false,Fog Heat Stress,Preference locations with lower heat stress for fogging.
FogCriteriaWeights,fog_wave_stress,1.0,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",minimum,0.0,1.0,false,Fog Wave Stress,Preference locations with lower wave activity for fogging.
FogCriteriaWeights,fog_in_connectivity,1.0,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",maximum,0.0,1.0,false,Incoming Connectivity (Fog),"Give preference to locations with high incoming connectivity (i.e., receives larvae from other sites) for fogging deployments."
FogCriteriaWeights,fog_out_connectivity,1.0,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",maximum,0.0,1.0,false,Outgoing Connectivity (Fog),"Give preference to locations with high outgoing connectivity (i.e., provides larvae to other sites) for fogging deployments."
FogCriteriaWeights,fog_depth,1.0,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",minimum,0.0,1.0,false,Depth (Fog),Give preference to shallower locations for fogging deployments.
FogCriteriaWeights,fog_coral_cover,0.0,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",maximum,0.0,1.0,false,Fog Coral Cover,Higher values give preference to sites with high coral cover for fogging deployments.
FogCriteriaWeights,fog_cluster_diversity,0.5,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",maximum,0.0,1.0,false,Cluster Diversity,Prefer to fog locations in clusters that are under-represented.
FogCriteriaWeights,fog_geographic_separation,0.5,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",minimum,0.0,1.0,false,Geographic Separation,Fog locations that are distant (when maximized) or closer (when minimized) to their neighbors.
MCCriteriaWeights,mc_heat_stress,0.9,continuous,Distributions.Uniform,"(0.8, 1.0)","(0.8, 1.0)",minimum,0.8,1.0,false,MC Heat Stress,Importance of avoiding heat stress. Prefer locations with lower heat stress.
MCCriteriaWeights,mc_wave_stress,0.5,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",maximum,0.0,1.0,false,MC Wave Stress,Prefer locations with higher wave activity.
MCCriteriaWeights,mc_in_connectivity,0.5,continuous,Distributions.Uniform,"(0.5, 1.0)","(0.5, 1.0)",maximum,0.5,1.0,false,MC Incoming Connectivity,"Give preference to locations with high incoming connectivity (i.e., receives larvae from other sites) for coral deployments."
MCCriteriaWeights,mc_out_connectivity,0.8,continuous,Distributions.Uniform,"(0.5, 1.0)","(0.5, 1.0)",maximum,0.5,1.0,false,MC Outgoing Connectivity,"Give preference to locations with high outgoing connectivity (i.e., provides larvae to other sites) for coral deployments."
MCCriteriaWeights,mc_depth,1.0,continuous,Distributions.Uniform,"(0.8, 1.0)","(0.8, 1.0)",maximum,0.8,1.0,false,MC Depth,Give preference to deeper locations for coral deployments.
MCCriteriaWeights,mc_coral_cover,0.7,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",minimum,0.0,1.0,false,MC Coral Cover,Preference locations with lower coral cover (higher available space).
MCCriteriaWeights,mc_cluster_diversity,0.7,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",maximum,0.0,1.0,false,MC Cluster Diversity,Prefer locations from clusters that are under-represented.
MCCriteriaWeights,mc_geographic_separation,0.8,continuous,Distributions.Uniform,"(0.0, 1.0)","(0.0, 1.0)",minimum,0.0,1.0,false,MC Geographic Separation,Prefer locations that are distant (when maximized) or closer (when minimized; the default) to their neighbors.
decision.DepthThresholds,depth_min,5.0,ordered categorical,DiscreteOrderedUniformDist,"(2.0, 5.0, 0.5)","(2.0, 5.0, 0.5)",,2.0,5.0,false,Minimum Depth,"Minimum depth for a site to be included for consideration.
Note: This value will be replaced with the shallowest depth value found if all sites are found to be deeper than `depth_min + depth_offset`."
decision.DepthThresholds,depth_offset,10.0,ordered categorical,DiscreteOrderedUniformDist,"(10.0, 25.0, 0.5)","(10.0, 25.0, 0.5)",,10.0,25.0,false,Depth Offset,"Offset from minimum depth, used to indicate maximum depth."
Coral,heritability,0.3,continuous,Distributions.Uniform,"(0.25, 0.5)","(0.25, 0.5)",,0.25,0.5,false,Heritability,Heritability of DHW tolerance.
Coral,tabular_Acropora_1_1_mean_colony_diameter_m,0.05,continuous,Distributions.TriangularDist,"(0.045000000000000005, 0.05500000000000001, 0.05)","(0.045000000000000005, 0.05500000000000001, 0.05)",,0.045000000000000005,0.05500000000000001,false,Tabular Acropora 1 1 Mean Colony Diameter M,
Coral,tabular_Acropora_1_1_linear_extension,0.0266831,continuous,Distributions.TriangularDist,"(0.02401479, 0.029351410000000005, 0.0266831)","(0.02401479, 0.029351410000000005, 0.0266831)",,0.02401479,0.029351410000000005,false,Tabular Acropora 1 1 Linear Extension,
Coral,tabular_Acropora_1_1_fecundity,0.0,continuous,Distributions.TriangularDist,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",,0.0,0.0,true,Tabular Acropora 1 1 Fecundity,
Coral,tabular_Acropora_1_1_mb_rate,0.283821,continuous,Distributions.TriangularDist,"(0.2554389, 0.3122031, 0.283821)","(0.2554389, 0.3122031, 0.283821)",,0.2554389,0.3122031,false,Tabular Acropora 1 1 Mb Rate,
Coral,tabular_Acropora_1_1_dist_mean,3.6288,continuous,Distributions.TriangularDist,"(3.26592, 3.9916800000000006, 3.6288)","(3.26592, 3.9916800000000006, 3.6288)",,3.26592,3.9916800000000006,false,Tabular Acropora 1 1 Dist Mean,
Coral,tabular_Acropora_1_1_dist_std,2.904433676,continuous,Distributions.TriangularDist,"(2.6139903084, 3.1948770436000005, 2.904433676)","(2.6139903084, 3.1948770436000005, 2.904433676)",,2.6139903084,3.1948770436000005,false,Tabular Acropora 1 1 Dist Std,
Coral,tabular_Acropora_1_2_mean_colony_diameter_m,0.1,continuous,Distributions.TriangularDist,"(0.09000000000000001, 0.11000000000000001, 0.1)","(0.09000000000000001, 0.11000000000000001, 0.1)",,0.09000000000000001,0.11000000000000001,false,Tabular Acropora 1 2 Mean Colony Diameter M,
Coral,tabular_Acropora_1_2_linear_extension,0.0456663,continuous,Distributions.TriangularDist,"(0.04109967, 0.05023293, 0.0456663)","(0.04109967, 0.05023293, 0.0456663)",,0.04109967,0.05023293,false,Tabular Acropora 1 2 Linear Extension,
Coral,tabular_Acropora_1_2_fecundity,0.0,continuous,Distributions.TriangularDist,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",,0.0,0.0,true,Tabular Acropora 1 2 Fecundity,
Coral,tabular_Acropora_1_2_mb_rate,0.175423,continuous,Distributions.TriangularDist,"(0.1578807, 0.1929653, 0.175423)","(0.1578807, 0.1929653, 0.175423)",,0.1578807,0.1929653,false,Tabular Acropora 1 2 Mb Rate,
Coral,tabular_Acropora_1_2_dist_mean,3.39071,continuous,Distributions.TriangularDist,"(3.0516389999999998, 3.729781, 3.39071)","(3.0516389999999998, 3.729781, 3.39071)",,3.0516389999999998,3.729781,false,Tabular Acropora 1 2 Dist Mean,
Coral,tabular_Acropora_1_2_dist_std,2.904433676,continuous,Distributions.TriangularDist,"(2.6139903084, 3.1948770436000005, 2.904433676)","(2.6139903084, 3.1948770436000005, 2.904433676)",,2.6139903084,3.1948770436000005,false,Tabular Acropora 1 2 Dist Std,
Coral,tabular_Acropora_1_3_mean_colony_diameter_m,0.1875,continuous,Distributions.TriangularDist,"(0.16875, 0.20625000000000002, 0.1875)","(0.16875, 0.20625000000000002, 0.1875)",,0.16875,0.20625000000000002,false,Tabular Acropora 1 3 Mean Colony Diameter M,
Coral,tabular_Acropora_1_3_linear_extension,0.055042,continuous,Distributions.TriangularDist,"(0.0495378, 0.06054620000000001, 0.055042)","(0.0495378, 0.06054620000000001, 0.055042)",,0.0495378,0.06054620000000001,false,Tabular Acropora 1 3 Linear Extension,
Coral,tabular_Acropora_1_3_fecundity,496984.79720652587,continuous,Distributions.TriangularDist,"(447286.3174858733, 546683.2769271785, 496984.79720652587)","(447286.3174858733, 546683.2769271785, 496984.79720652587)",,447286.3174858733,546683.2769271785,false,Tabular Acropora 1 3 Fecundity,
Coral,tabular_Acropora_1_3_mb_rate,0.190262,continuous,Distributions.TriangularDist,"(0.1712358, 0.2092882, 0.190262)","(0.1712358, 0.2092882, 0.190262)",,0.1712358,0.2092882,false,Tabular Acropora 1 3 Mb Rate,
Coral,tabular_Acropora_1_3_dist_mean,3.51495,continuous,Distributions.TriangularDist,"(3.163455, 3.866445, 3.51495)","(3.163455, 3.866445, 3.51495)",,3.163455,3.866445,false,Tabular Acropora 1 3 Dist Mean,
Coral,tabular_Acropora_1_3_dist_std,2.904433676,continuous,Distributions.TriangularDist,"(2.6139903084, 3.1948770436000005, 2.904433676)","(2.6139903084, 3.1948770436000005, 2.904433676)",,2.6139903084,3.1948770436000005,false,Tabular Acropora 1 3 Dist Std,
Coral,tabular_Acropora_1_4_mean_colony_diameter_m,0.375,continuous,Distributions.TriangularDist,"(0.3375, 0.41250000000000003, 0.375)","(0.3375, 0.41250000000000003, 0.375)",,0.3375,0.41250000000000003,false,Tabular Acropora 1 4 Mean Colony Diameter M,
Coral,tabular_Acropora_1_4_linear_extension,0.0699477,continuous,Distributions.TriangularDist,"(0.06295293, 0.07694247000000001, 0.0699477)","(0.06295293, 0.07694247000000001, 0.0699477)",,0.06295293,0.07694247000000001,false,Tabular Acropora 1 4 Linear Extension,
Coral,tabular_Acropora_1_4_fecundity,732689.3879832409,continuous,Distributions.TriangularDist,"(659420.4491849168, 805958.3267815651, 732689.3879832409)","(659420.4491849168, 805958.3267815651, 732689.3879832409)",,659420.4491849168,805958.3267815651,false,Tabular Acropora 1 4 Fecundity,
Coral,tabular_Acropora_1_4_mb_rate,0.174482,continuous,Distributions.TriangularDist,"(0.1570338, 0.19193020000000002, 0.174482)","(0.1570338, 0.19193020000000002, 0.174482)",,0.1570338,0.19193020000000002,false,Tabular Acropora 1 4 Mb Rate,
Coral,tabular_Acropora_1_4_dist_mean,3.05432,continuous,Distributions.TriangularDist,"(2.748888, 3.3597520000000003, 3.05432)","(2.748888, 3.3597520000000003, 3.05432)",,2.748888,3.3597520000000003,false,Tabular Acropora 1 4 Dist Mean,
Coral,tabular_Acropora_1_4_dist_std,2.904433676,continuous,Distributions.TriangularDist,"(2.6139903084, 3.1948770436000005, 2.904433676)","(2.6139903084, 3.1948770436000005, 2.904433676)",,2.6139903084,3.1948770436000005,false,Tabular Acropora 1 4 Dist Std,
Coral,tabular_Acropora_1_5_mean_colony_diameter_m,0.65,continuous,Distributions.TriangularDist,"(0.5850000000000001, 0.7150000000000001, 0.65)","(0.5850000000000001, 0.7150000000000001, 0.65)",,0.5850000000000001,0.7150000000000001,false,Tabular Acropora 1 5 Mean Colony Diameter M,
Coral,tabular_Acropora_1_5_linear_extension,0.0631659,continuous,Distributions.TriangularDist,"(0.05684931, 0.06948249000000001, 0.0631659)","(0.05684931, 0.06948249000000001, 0.0631659)",,0.05684931,0.06948249000000001,false,Tabular Acropora 1 5 Linear Extension,
Coral,tabular_Acropora_1_5_fecundity,996997.0452289943,continuous,Distributions.TriangularDist,"(897297.3407060949, 1.0966967497518938e6, 996997.0452289943)","(897297.3407060949, 1.0966967497518938e6, 996997.0452289943)",,897297.3407060949,1.0966967497518938e6,false,Tabular Acropora 1 5 Fecundity,
Coral,tabular_Acropora_1_5_mb_rate,0.166568,continuous,Distributions.TriangularDist,"(0.1499112, 0.18322480000000002, 0.166568)","(0.1499112, 0.18322480000000002, 0.166568)",,0.1499112,0.18322480000000002,false,Tabular Acropora 1 5 Mb Rate,
Coral,tabular_Acropora_1_5_dist_mean,3.46573,continuous,Distributions.TriangularDist,"(3.1191570000000004, 3.8123030000000004, 3.46573)","(3.1191570000000004, 3.8123030000000004, 3.46573)",,3.1191570000000004,3.8123030000000004,false,Tabular Acropora 1 5 Dist Mean,
Coral,tabular_Acropora_1_5_dist_std,2.904433676,continuous,Distributions.TriangularDist,"(2.6139903084, 3.1948770436000005, 2.904433676)","(2.6139903084, 3.1948770436000005, 2.904433676)",,2.6139903084,3.1948770436000005,false,Tabular Acropora 1 5 Dist Std,
Coral,tabular_Acropora_1_6_mean_colony_diameter_m,1.0,continuous,Distributions.TriangularDist,"(0.9, 1.1, 1.0)","(0.9, 1.1, 1.0)",,0.9,1.1,false,Tabular Acropora 1 6 Mean Colony Diameter M,
Coral,tabular_Acropora_1_6_linear_extension,0.0726078,continuous,Distributions.TriangularDist,"(0.06534702, 0.07986858000000001, 0.0726078)","(0.06534702, 0.07986858000000001, 0.0726078)",,0.06534702,0.07986858000000001,false,Tabular Acropora 1 6 Linear Extension,
Coral,tabular_Acropora_1_6_fecundity,1.269002248153308e6,continuous,Distributions.TriangularDist,"(1.1421020233379772e6, 1.3959024729686389e6, 1.269002248153308e6)","(1.1421020233379772e6, 1.3959024729686389e6, 1.269002248153308e6)",,1.1421020233379772e6,1.3959024729686389e6,false,Tabular Acropora 1 6 Fecundity,
Coral,tabular_Acropora_1_6_mb_rate,0.133093,continuous,Distributions.TriangularDist,"(0.11978369999999999, 0.1464023, 0.133093)","(0.11978369999999999, 0.1464023, 0.133093)",,0.11978369999999999,0.1464023,false,Tabular Acropora 1 6 Mb Rate,
Coral,tabular_Acropora_1_6_dist_mean,3.54919,continuous,Distributions.TriangularDist,"(3.194271, 3.904109, 3.54919)","(3.194271, 3.904109, 3.54919)",,3.194271,3.904109,false,Tabular Acropora 1 6 Dist Mean,
Coral,tabular_Acropora_1_6_dist_std,2.904433676,continuous,Distributions.TriangularDist,"(2.6139903084, 3.1948770436000005, 2.904433676)","(2.6139903084, 3.1948770436000005, 2.904433676)",,2.6139903084,3.1948770436000005,false,Tabular Acropora 1 6 Dist Std,
Coral,tabular_Acropora_1_7_mean_colony_diameter_m,1.4000000000000001,continuous,Distributions.TriangularDist,"(1.2600000000000002, 1.5400000000000003, 1.4000000000000001)","(1.2600000000000002, 1.5400000000000003, 1.4000000000000001)",,1.2600000000000002,1.5400000000000003,false,Tabular Acropora 1 7 Mean Colony Diameter M,
Coral,tabular_Acropora_1_7_linear_extension,0.0,continuous,Distributions.TriangularDist,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",,0.0,0.0,true,Tabular Acropora 1 7 Linear Extension,
Coral,tabular_Acropora_1_7_fecundity,1.5321246202686543e6,continuous,Distributions.TriangularDist,"(1.3789121582417889e6, 1.6853370822955198e6, 1.5321246202686543e6)","(1.3789121582417889e6, 1.6853370822955198e6, 1.5321246202686543e6)",,1.3789121582417889e6,1.6853370822955198e6,false,Tabular Acropora 1 7 Fecundity,
Coral,tabular_Acropora_1_7_mb_rate,0.137608,continuous,Distributions.TriangularDist,"(0.1238472, 0.15136880000000003, 0.137608)","(0.1238472, 0.15136880000000003, 0.137608)",,0.1238472,0.15136880000000003,false,Tabular Acropora 1 7 Mb Rate,
Coral,tabular_Acropora_1_7_dist_mean,2.99916,continuous,Distributions.TriangularDist,"(2.6992439999999998, 3.299076, 2.99916)","(2.6992439999999998, 3.299076, 2.99916)",,2.6992439999999998,3.299076,false,Tabular Acropora 1 7 Dist Mean,
Coral,tabular_Acropora_1_7_dist_std,2.904433676,continuous,Distributions.TriangularDist,"(2.6139903084, 3.1948770436000005, 2.904433676)","(2.6139903084, 3.1948770436000005, 2.904433676)",,2.6139903084,3.1948770436000005,false,Tabular Acropora 1 7 Dist Std,
Coral,corymbose_Acropora_2_1_mean_colony_diameter_m,0.05,continuous,Distributions.TriangularDist,"(0.045000000000000005, 0.05500000000000001, 0.05)","(0.045000000000000005, 0.05500000000000001, 0.05)",,0.045000000000000005,0.05500000000000001,false,Corymbose Acropora 2 1 Mean Colony Diameter M,
Coral,corymbose_Acropora_2_1_linear_extension,0.026701199999999998,continuous,Distributions.TriangularDist,"(0.02403108, 0.02937132, 0.026701199999999998)","(0.02403108, 0.02937132, 0.026701199999999998)",,0.02403108,0.02937132,false,Corymbose Acropora 2 1 Linear Extension,
Coral,corymbose_Acropora_2_1_fecundity,0.0,continuous,Distributions.TriangularDist,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",,0.0,0.0,true,Corymbose Acropora 2 1 Fecundity,
Coral,corymbose_Acropora_2_1_mb_rate,0.201831,continuous,Distributions.TriangularDist,"(0.1816479, 0.22201410000000002, 0.201831)","(0.1816479, 0.22201410000000002, 0.201831)",,0.1816479,0.22201410000000002,false,Corymbose Acropora 2 1 Mb Rate,
